Cn,Ct,ec (cm3),ep (KW),Ewltp (g/km)
XC40,M1,,300.0,0.0
420I,M1,1998.0,135.0,172.0
XC60,M1,1969.0,110.0,153.0
KAMIQ,M1,999.0,85.0,135.0
ENYAQ 80,M1,,70.0,0.0
CAYENNE E-HYBRID,M1G,2995.0,250.0,
COMPASS,M1,1332.0,110.0,158.0
FIESTA,M1,999.0,70.0,116.0
MAZDA CX-30,M1,1998.0,137.0,128.0
ATECA,M1,1968.0,110.0,130.0
A6 AVANT,M1,1968.0,150.0,152.0
Ceed,M1,998.0,88.0,119.0
Q2,M1,1498.0,110.0,138.0
TUCSON,M1,1598.0,132.0,31.0
208,M1,1499.0,75.0,106.0
V60,M1,1969.0,186.0,42.0
118I,M1,1499.0,100.0,131.0
OUTLANDER,M1,2360.0,99.0,40.0
FIAT 500,M1,999.0,52.0,114.0
RS Q8,M1,3996.0,441.0,318.0
"KONA, KAUAI",M1,998.0,88.0,136.0
i 30,M1,1498.0,81.0,135.0
ARKANA,M1,1332.0,116.0,131.0
SCENIC,M1,1749.0,88.0,157.0
POLO,M1,999.0,70.0,119.0
3008,M1,1499.0,96.0,136.0
3008,M1,1499.0,96.0,136.0
I10,M1,998.0,49.0,120.0
RIO,M1,998.0,88.0,125.0
X3 XDRIVE 20D,M1G,1995.0,140.0,155.0
EQ FORFOUR,M1,,41.0,0.0
I 30,M1,998.0,88.0,122.0
M4 Competition,M1,2993.0,375.0,229.0
CROSSLAND,M1,1199.0,81.0,131.0
CT200H,M1,1798.0,73.0,115.0
500,M1,,43.0,0.0
DS7 CROSSBACK,M1,1598.0,147.0,34.0
118I,M1,1499.0,100.0,131.0
IGNIS,M1,1197.0,61.0,112.0
GOLF,M1,1968.0,147.0,141.0
E-C4,M1,,57.0,0.0
KADJAR,M1,1332.0,103.0,145.0
SCALA,M1,999.0,81.0,130.0
XC40,M1,1477.0,120.0,166.0
MAZDA3,M1,1998.0,90.0,127.0
FIAT 500,M1,999.0,,114.0
ENYAQ 80,M1,,70.0,0.0
TOYOTA YARIS CROSS,M1,1490.0,68.0,102.0
Jaguar E-PACE,M1,1998.0,120.0,172.0
FABIA,M1,999.0,81.0,104.0
ID.4 PRO 150 KW,M1,,70.0,0.0
TOYOTA COROLLA,M1,1987.0,112.0,118.0
C3,M1,1199.0,61.0,122.0
XCEED,M1,1482.0,117.0,141.0
YPSILON,M1,999.0,52.0,125.0
Q5 55 TFSI E,M1,1984.0,195.0,
GOLF,M1,1968.0,110.0,123.0
FOCUS,M1,1499.0,88.0,118.0
KONA KAUAI,M1,1598.0,100.0,133.0
GOLF,M1,1498.0,110.0,133.0
PANDA,M1,999.0,52.0,123.0
SWIFT,M1,1197.0,61.0,106.0
TOYOTA YARIS,M1,1490.0,68.0,92.0
TWINGO,M1,999.0,48.0,118.0
2008,M1,,57.0,0.0
MOKKA,M1,,100.0,0.0
Nissan Leaf 62kWh,M1,,160.0,0.0
FOCUS,M1,999.0,92.0,137.0
KONA,M1,998.0,88.0,145.0
Q2,M1,1498.0,110.0,144.0
A4 LIMOUSINE,M1,1984.0,110.0,143.0
MAZDA MX-30,M1,,81.0,0.0
2008,M1,,57.0,0.0
FOCUS,M1,999.0,74.0,127.0
TOYOTA YARIS CROSS,M1,1490.0,68.0,101.0
ID.4 PRO 150 KW,M1,,150.0,0.0
DUSTER,M1,1461.0,84.0,140.0
RIO,M1,1197.0,62.0,129.0
X2 SDRIVE18D,M1,1995.0,110.0,142.0
CX-30,M1,1998.0,137.0,148.0
COROLLA,M1,1798.0,72.0,97.0
EQC 400 4MATIC,M1,,300.0,0.0
SANDERO,M1,999.0,74.0,115.0
ID.3 PRO 150KW,M1,,70.0,0.0
MOKKA,M1,1199.0,96.0,135.0
A4 AVANT G-TRON,M1,1984.0,125.0,122.0
X1,M1,1499.0,100.0,148.0
C3,M1,1199.0,61.0,130.0
PUMA,M1,999.0,92.0,138.0
EQ fortwo coupe,M1,,60.0,0.0
530D,M1,2993.0,210.0,136.0
SUPERB,M1,1395.0,115.0,26.0
KONA KAUAI,M1,1580.0,77.0,112.0
SUV,M1,1199.0,81.0,136.0
2008,M1,,100.0,0.0
C3,M1,1499.0,75.0,112.0
T-ROC,M1,1498.0,110.0,152.0
NIRO,M1,1580.0,77.0,31.0
DUSTER,M1,999.0,67.0,145.0
5008,M1,1199.0,96.0,151.0
A 200,M1,1332.0,120.0,137.0
CLASSE A,M1,1332.0,100.0,137.0
ABARTH 500,M1,1368.0,121.0,155.0
MITSUBISHI SPACE STAR,M1,1193.0,52.0,113.0
MEGANE,M1,1332.0,103.0,134.0
NIRO,M1,,100.0,0.0
DS3 CROSSBACK,M1,1199.0,96.0,138.0
NISSAN JUKE,M1,999.0,84.0,134.0
CAPTUR,M1,1332.0,103.0,128.0
XC40,M1,1477.0,95.0,49.0
I 30,M1,1598.0,85.0,129.0
ZOE,M1,,51.0,0.0
MAZDA3,M1,1998.0,137.0,120.0
VITARA,M1,1373.0,95.0,128.0
T-CROSS,M1,999.0,81.0,146.0
TOYOTA C-HR,M1,1987.0,112.0,120.0
Q3,M1,1984.0,140.0,185.0
KUGA,M1,2488.0,112.0,24.0
CLUBMAN COOPER,M1,1499.0,100.0,141.0
2008,M1,1199.0,96.0,128.0
OCTAVIA,M1,1968.0,110.0,121.0
FIESTA TITANIUM,M1,999.0,69.0,116.0
TWINGO,M1,,31.0,0.0
T-CROSS,M1,999.0,81.0,146.0
DEFENDER,M1G,2997.0,183.0,235.0
Picanto,M1,998.0,,112.0
NIRO,M1,1580.0,77.0,31.0
POLO,M1,999.0,70.0,121.0
LEON,M1,1395.0,110.0,27.0
TIGUAN,M1,1498.0,110.0,161.0
T-CROSS,M1,999.0,81.0,133.0
BERLINGO,M1,1499.0,75.0,137.0
LYNK,M1,1477.0,132.0,163.0
PUMA,M1,999.0,92.0,127.0
T-CROSS,M1,999.0,81.0,132.0
COROLLA,M1,1798.0,72.0,101.0
STONIC,M1,998.0,74.0,125.0
Q4 50 E TRON,M1,,150.0,0.0
CADDY,M1,1968.0,90.0,146.0
C3 AIRCROSS,M1,1199.0,81.0,135.0
GRANDLAND X,M1,1199.0,96.0,141.0
POLO,M1,999.0,70.0,121.0
MAZDA2,M1,1496.0,66.0,120.0
TIGUAN,M1G,1984.0,140.0,191.0
T-CROSS,M1,999.0,81.0,150.0
Model 3,M1,,239.0,0.0
E-TRON SPORTBACK 50,M1,,158.0,0.0
V60,M1,1969.0,223.0,43.0
PROCEED,M1,1591.0,150.0,153.0
LEON,M1,1498.0,96.0,127.0
TIGUAN,M1,1498.0,96.0,146.0
X1,M1,1995.0,110.0,145.0
CADDY,M1,1968.0,90.0,128.0
Q3,M1,1968.0,110.0,142.0
ASTRA SPORTS TOURER,M1,1341.0,107.0,131.0
GLC 300 E 4MATIC,M1,1991.0,155.0,46.0
Suzuki SX4,M1,1373.0,95.0,128.0
M3 Competition,M1,2993.0,375.0,230.0
2008,M1,1499.0,81.0,118.0
FIAT 500,M1,999.0,52.0,108.0
630D XDRIVE,M1,2993.0,210.0,171.0
IBIZA,M1,999.0,81.0,117.0
KONA,M1,,28.0,0.0
C-HR,M1,1798.0,72.0,110.0
840D XDRIVE,M1,2993.0,250.0,174.0
FIESTA,M1,999.0,92.0,116.0
STELVIO,M1,1995.0,148.0,192.0
GOLF,M1,999.0,81.0,120.0
C5 AIRCROSS,M1,1598.0,133.0,31.0
V60,M1,1969.0,145.0,145.0
JAGUAR F-TYPE,M1,1997.0,221.0,218.0
208,M1,1499.0,75.0,107.0
208,M1,1199.0,55.0,120.0
PUMA,M1,999.0,92.0,129.0
3008,M1,1499.0,96.0,135.0
GR YARIS,M1,1618.0,192.0,186.0
A1 SPORTBACK,M1,999.0,81.0,133.0
SANDERO,M1,999.0,67.0,128.0
C3,M1,1199.0,81.0,135.0
Q4 SPORTBACK 50 E TRON,M1,,150.0,0.0
118D,M1,1995.0,110.0,130.0
C3,M1,1199.0,61.0,124.0
Ceed,M1,998.0,74.0,123.0
C5 AIRCROSS,M1,1199.0,96.0,148.0
KUGA,M1,2488.0,112.0,130.0
MARCO POLO,M1,1950.0,140.0,206.0
GLA 180,M1,1332.0,100.0,153.0
NIRO,M1,1580.0,77.0,102.0
MUSTANG,M1,5038.0,330.0,256.0
T-CROSS,M1,1498.0,110.0,136.0
X1 SDRIVE18D,M1,1995.0,110.0,141.0
POLO,M1,999.0,70.0,135.0
ARONA,M1,999.0,81.0,124.0
COROLLA,M1,1798.0,72.0,103.0
GOLF,M1,1498.0,96.0,108.0
SANDERO,M1,999.0,67.0,120.0
COROLLA,M1,1798.0,72.0,100.0
TOYOTA YARIS,M1,1490.0,68.0,97.0
TOYOTA RAV4,M1,2487.0,131.0,133.0
Cooper S,M1,1998.0,131.0,142.0
SCENIC,M1,1332.0,103.0,153.0
LEON SPORTSTOURER,M1,1498.0,110.0,135.0
Model 3,M1,,208.0,0.0
TUCSON IX35,M1,1598.0,132.0,147.0
RS6 AVANT,M1,3996.0,441.0,294.0
3008,M1,1199.0,96.0,146.0
FIESTA,M1,999.0,92.0,113.0
I 30 N,M1,1998.0,206.0,182.0
208,M1,1199.0,74.0,118.0
"KONA, KAUAI",M1,1580.0,77.0,114.0
Model 3,M1,,366.0,0.0
XC40,M1,1969.0,145.0,167.0
SX4,M1,1373.0,95.0,130.0
T-CROSS,M1,999.0,81.0,146.0
OCTAVIA,M1,1968.0,85.0,111.0
3008,M1,1598.0,133.0,157.0
NISSAN LEAF 62KWH,M1,,160.0,0.0
220i,M1,1998.0,131.0,139.0
DUSTER,M1,999.0,74.0,129.0
FIAT 500X,M1,1248.0,70.0,125.0
GOLF,M1,1968.0,85.0,120.0
SCENIC,M1,1332.0,103.0,146.0
SANTA FE,M1,1598.0,132.0,166.0
SHARAN,M1,1968.0,110.0,181.0
ASTRA SPORTS TOURER,M1,1341.0,107.0,130.0
SEAT LEON SP,M1,1498.0,110.0,134.0
XC40,M1,1477.0,120.0,166.0
XC40,M1,1969.0,145.0,166.0
SPORTAGE,M1,1598.0,100.0,145.0
X3 xDrive20i,M1,1998.0,135.0,176.0
320e,M1,1998.0,120.0,33.0
UX250H,M1,1987.0,112.0,120.0
CX-5,M1,1998.0,121.0,153.0
DEFENDER,M1G,1997.0,221.0,86.0
PUMA,M1,999.0,91.0,127.0
e-tron Sportback 55,M1,,300.0,0.0
X3 XDRIVE 20D,M1G,1995.0,140.0,157.0
KUGA,M1,1499.0,88.0,123.0
CROSSLAND,M1,1499.0,81.0,120.0
SERIE 1,M1,1995.0,110.0,127.0
FIAT 500L,M1,1368.0,70.0,166.0
COOPER,M1,1499.0,100.0,127.0
XC40,M1,,300.0,0.0
CLIO,M1,1332.0,103.0,122.0
CAPTUR,M1,999.0,67.0,133.0
SEAT ATECA,M1,999.0,81.0,145.0
T-ROC,M1,1498.0,110.0,152.0
C3 AIRCROSS,M1,1499.0,81.0,123.0
MEGANE,M1,1332.0,103.0,131.0
208,M1,1499.0,75.0,107.0
208,M1,1199.0,74.0,122.0
3008,M1,1598.0,133.0,
330E XDRIVE,M1,1998.0,135.0,41.0
PANDA,M1,999.0,52.0,118.0
KODIAQ,M1,1968.0,147.0,168.0
PASSAT,M1,1395.0,115.0,27.0
PASSAT,M1,1968.0,110.0,127.0
CROSSLAND,M1,1199.0,81.0,130.0
MINI COOPER SD ALL4 CLUBMAN F5,M1,1995.0,140.0,149.0
NIRO,M1,,150.0,0.0
ZOE,M1,,51.0,0.0
FABIA,M1,999.0,70.0,136.0
C-HR,M1,1798.0,72.0,108.0
ARONA,M1,1498.0,110.0,141.0
SANDERO,M1,999.0,67.0,128.0
A 250 E,M1,1332.0,118.0,24.0
TOYOTA YARIS,M1,1490.0,68.0,92.0
MODEL 3,M1,,65.0,0.0
Macan,M1,1984.0,195.0,229.0
I3,M1,,75.0,0.0
CORSA,M1,1199.0,74.0,124.0
RENEGADE,M1,999.0,88.0,144.0
308,M1,1499.0,96.0,124.0
208,M1,1499.0,75.0,106.0
T-ROC,M1,999.0,81.0,138.0
C3,M1,1199.0,81.0,121.0
TIPO,M1,1368.0,70.0,165.0
MODEL Y,M1,,88.0,0.0
CAPTUR,M1,999.0,67.0,119.0
ASTRA SPORTS TOURER,M1,1199.0,96.0,122.0
GOLF,M1,1968.0,110.0,126.0
COROLLA,M1,1798.0,72.0,111.0
C3,M1,1199.0,61.0,123.0
Q3 SPORTBACK,M1,1968.0,110.0,143.0
LODGY,M1,1461.0,70.0,126.0
IGNIS,M1,1197.0,61.0,124.0
CEED,M1,1482.0,118.0,125.0
ARKANA E-TECH,M1,1598.0,69.0,111.0
2008,M1,1199.0,74.0,123.0
CORSA,M1,,57.0,0.0
FIAT 500X,M1,1598.0,96.0,133.0
AYGO,M1,998.0,53.0,113.0
NUEVO,M1,1499.0,75.0,112.0
TIGUAN,M1,1498.0,110.0,166.0
CAPTUR,M1,1332.0,103.0,134.0
KADJAR,M1,1461.0,85.0,132.0
GLC 400 D 4MATIC,M1,2925.0,243.0,193.0
116d,M1,1496.0,85.0,121.0
COROLLA,M1,1798.0,72.0,101.0
ID.3 PRO S 150KW,M1,,70.0,0.0
COOPER S,M1,1998.0,131.0,137.0
CROSSLAND X,M1,1499.0,81.0,121.0
I10 BI-FUEL,M1,998.0,48.0,110.0
A3 SPORTBACK,M1,1498.0,110.0,130.0
C3 AIRCROSS / 1.2 /,M1,1199.0,81.0,134.0
MAZDA CX-5,M1,1998.0,121.0,173.0
COMPASS,M1G,1332.0,132.0,47.0
POLESTAR 2,M1,,160.0,0.0
DUSTER,M1,999.0,67.0,130.0
BAYON,M1,998.0,74.0,119.0
TOYOTA YARIS,M1,1490.0,68.0,91.0
FIESTA,M1,999.0,91.0,128.0
UP!,M1,999.0,48.0,117.0
V60,M1,1969.0,110.0,137.0
2008,M1,1199.0,96.0,126.0
TIGUAN,M1,1968.0,110.0,155.0
C 300 de,M1,1950.0,143.0,34.0
YPSILON,M1,999.0,52.0,111.0
PUMA,M1,999.0,114.0,126.0
OCTAVIA,M1,1498.0,110.0,128.0
220I ACTIVE TOURER,M1,1998.0,131.0,144.0
MODEL 3,M1,,155.0,0.0
208,M1,1499.0,75.0,106.0
I10,M1,998.0,49.0,126.0
X3 XDRIVE 30D,M1G,2993.0,210.0,174.0
3008,M1,1598.0,133.0,31.0
C3,M1,1199.0,61.0,120.0
XV,M1,1995.0,110.0,180.0
GRAND SCENIC,M1,1750.0,88.0,148.0
2008,M1,1499.0,75.0,118.0
SEAT ATECA,M1,1968.0,110.0,131.0
XC40,M1,1477.0,95.0,166.0
TOYOTA RAV4,M1,2487.0,136.0,22.0
KUGA,M1,2488.0,112.0,32.0
IBIZA,M1,999.0,70.0,124.0
T-ROC,M1,1498.0,110.0,154.0
V 300,M1,1950.0,176.0,197.0
FOCUS,M1,999.0,92.0,119.0
FJ CRUISER,M1G,3956.0,190.0,
ARONA,M1,999.0,81.0,136.0
E 300 DE,M1,1950.0,143.0,36.0
CUPRA LEON SP E-HYBRID180,M1,1395.0,110.0,32.0
Puma,M1,999.0,114.0,127.0
TOURAN,M1,1968.0,110.0,142.0
MAHINDRA KUV 100 NXT,,1198.0,64.0,
I20,M1,998.0,73.0,115.0
CORSA,M1,,57.0,0.0
UP!,M1,999.0,48.0,118.0
Kuga,M1,1499.0,88.0,123.0
CLA 250 E,M1,1332.0,118.0,30.0
PICANTO,M1,1197.0,61.0,125.0
MOKKA,M1,1199.0,96.0,135.0
SEAT LEON,M1,1968.0,110.0,116.0
JUKE,M1,999.0,84.0,135.0
X1 XDRIVE 20D,M1,1995.0,140.0,148.0
FIAT 500,M1,999.0,52.0,108.0
UP!,M1,,61.0,0.0
COMPASS,M1,1598.0,96.0,138.0
SEAT LEON SP,M1,1498.0,96.0,128.0
TUCSON,M1,1598.0,132.0,131.0
SANDERO,M1,999.0,67.0,128.0
LODGY,M1,1332.0,96.0,145.0
DUSTER,M1,999.0,67.0,145.0
A4 LIMOUSINE,M1,1968.0,150.0,138.0
RENEGADE,M1,1598.0,96.0,134.0
C 200,M1,1497.0,135.0,154.0
CLIO,M1,1461.0,74.0,109.0
Fiesta,M1,999.0,70.0,116.0
MAZDA MX-30,M1,,81.0,0.0
EQ FORTWO COUPE,M1,,41.0,0.0
NISSAN QASHQAI,M1,1332.0,103.0,143.0
Q5,M1,1968.0,120.0,197.0
RIFTER,M1,1499.0,96.0,142.0
SANDERO,M1,999.0,67.0,127.0
MAZDA CX-30/G122/COMFORT+/STYL,M1,1998.0,90.0,141.0
KODIAQ,M1,1968.0,110.0,146.0
MICRA,M1,999.0,68.0,124.0
NISSAN JUKE,M1,999.0,84.0,137.0
GOLF,M1,1968.0,85.0,122.0
ASTRA,M1,1199.0,81.0,121.0
N 2008,M1,,100.0,0.0
XC40,M1,1969.0,145.0,153.0
ARKANA,M1,1332.0,103.0,133.0
118I,M1,1499.0,100.0,140.0
PANDA,M1,999.0,52.0,109.0
MODEL 3,M1,,153.0,0.0
108,M1,998.0,53.0,111.0
CROSSLAND,M1,1199.0,81.0,131.0
Q2,M1,1968.0,110.0,149.0
POLO,M1,999.0,70.0,131.0
V60,M1,1969.0,228.0,19.0
3008,M1,1499.0,96.0,136.0
CAYENNE GTS,M1,3996.0,338.0,295.0
E 300 DE,M1,1950.0,143.0,35.0
TOYOTA YARIS,M1,1490.0,68.0,87.0
GRAND SCENIC,M1,1332.0,103.0,157.0
JAZZ,M1,1498.0,72.0,104.0
MODEL 3,M1,,100.0,0.0
YARIS,M1,1490.0,68.0,85.0
OCTAVIA RS,M1,1984.0,180.0,160.0
CLIO,M1,898.0,66.0,
CEED,M1,998.0,74.0,119.0
TOYOTA YARIS,M1,1490.0,92.0,125.0
SANDERO,M1,999.0,67.0,140.0
FOCUS,M1,999.0,92.0,127.0
LYNK & CO 01,M1,1477.0,132.0,27.0
X3 xDrive20d,M1,1995.0,140.0,165.0
POLO,M1,999.0,70.0,134.0
220I,M1,1998.0,135.0,180.0
MITSUBISHI OUTLANDER,M1,2360.0,99.0,46.0
COROLLA,M1,1798.0,72.0,103.0
TIGUAN,M1G,1968.0,147.0,175.0
OCTAVIA,M1,1968.0,110.0,115.0
PANDA,M1,999.0,52.0,120.0
208,M1,1199.0,74.0,118.0
TOYOTA YARIS,M1,1490.0,92.0,118.0
"RIO,STONIC",M1,1197.0,61.0,135.0
ARTEON,M1,1968.0,147.0,163.0
OCTAVIA,M1,1498.0,110.0,126.0
CLIO E-TECH HYBRID,M1,1598.0,67.0,98.0
XC40,M1,1477.0,95.0,50.0
JAZZ,M1,1498.0,72.0,103.0
SANDERO,M1,999.0,74.0,115.0
I10,M1,998.0,49.0,117.0
YARIS,M1,1490.0,68.0,87.0
DUSTER,M1,1332.0,96.0,142.0
CORSA,M1,1199.0,74.0,118.0
EQ FORTWO COUPE,M1,,41.0,0.0
EQ FORFOUR,M1,,41.0,0.0
T-ROC,M1,1498.0,110.0,144.0
Q3 E-TRON,M1,1395.0,110.0,42.0
T-ROC,M1,1498.0,110.0,148.0
FIAT 500L,M1,1368.0,70.0,166.0
A1 SPORTBACK,M1,999.0,81.0,135.0
CROSSLAND,M1,1199.0,61.0,136.0
CALIFORNIA BEACH,M1,1968.0,150.0,226.0
I3,M1,,125.0,0.0
CLA 200,M1,1332.0,120.0,150.0
T-CROSS,M1,999.0,81.0,150.0
KOMBI,M1,1968.0,150.0,204.0
MOKKA,M1,1199.0,96.0,135.0
T-ROC,M1,1498.0,110.0,158.0
DUSTER,M1,1461.0,84.0,145.0
SANDERO,M1,999.0,67.0,127.0
PROACE,M1,1997.0,106.0,185.0
RIFTER,M1,1499.0,75.0,139.0
CADDY,M1,1498.0,84.0,158.0
NISSAN QASHQAI,M1,1332.0,103.0,146.0
TOYOTA C-HR,M1,1798.0,72.0,110.0
2008,M1,1199.0,96.0,134.0
YARIS,M1,1490.0,68.0,88.0
218I ACTIVE TOURER,M1,1499.0,100.0,140.0
A 180,M1,1332.0,100.0,131.0
KUGA,M1,1496.0,110.0,151.0
EQ FORFOUR,M1,,41.0,0.0
A 180,M1,1332.0,100.0,137.0
DUSTER,M1,999.0,67.0,139.0
SANDERO,M1,999.0,67.0,115.0
PICANTO,M1,998.0,49.0,115.0
GOLF,M1,1984.0,180.0,168.0
POLO,M1,999.0,81.0,124.0
208,M1,1199.0,55.0,119.0
JAZZ,M1,1498.0,72.0,104.0
UP!,M1,999.0,48.0,116.0
COMPASS,M1G,1332.0,132.0,47.0
QASHQAI,M1,1461.0,85.0,139.0
ZOE,M1,,51.0,0.0
FOCUS,M1,1499.0,88.0,126.0
MOKKA,M1,,57.0,0.0
SUPERB,M1,1968.0,110.0,129.0
RENEGADE,M1,1598.0,96.0,133.0
GOLF,M1,1498.0,110.0,130.0
ID.4 PRO 150KW,M1,,70.0,0.0
2008,M1,1499.0,96.0,125.0
i 30,M1,1498.0,81.0,135.0
V60,M1,1969.0,186.0,42.0
A5 SPORTBACK,M1,1968.0,150.0,138.0
GLA 200,M1,1332.0,120.0,155.0
ID.3 PRO 150 KW,M1,,70.0,0.0
CLA 250 E,M1,1332.0,118.0,28.0
CAYENNE E-HYBRID,M1G,2995.0,250.0,
3008,M1,1598.0,133.0,31.0
OCTAVIA,M1,1968.0,85.0,119.0
TOYOTA C-HR,M1,1987.0,112.0,119.0
COMPASS,M1G,1332.0,96.0,162.0
XCEED,M1,1482.0,118.0,142.0
JUKE,M1,999.0,84.0,139.0
PICANTO,M1,998.0,49.0,126.0
CORSA,M1,1199.0,55.0,118.0
KADJAR,M1,1332.0,103.0,140.0
CLA 200,M1,1332.0,120.0,140.0
SUV,M1,1598.0,133.0,32.0
FIAT 500,M1,999.0,52.0,113.0
MEGANE,M1,1598.0,67.0,29.0
TOYOTA YARIS,M1,1490.0,68.0,87.0
ID.3 PRO 150KW,M1,,70.0,0.0
OCTAVIA RS,M1,1395.0,110.0,28.0
SANDERO,M1,999.0,67.0,128.0
FIAT 500L,M1,1368.0,70.0,166.0
POLO,M1,999.0,59.0,128.0
C4,M1,1199.0,96.0,131.0
SWACE,M1,1798.0,72.0,103.0
TOYOTA AYGO,M1,998.0,53.0,113.0
MOKKA,M1,,57.0,0.0
SCALA,M1,999.0,70.0,127.0
Nissan e-NV200,M1,,80.0,0.0
JUKE,M1,999.0,84.0,134.0
KUGA,M1,1496.0,88.0,152.0
ZOE,M1,,51.0,0.0
SPORTAGE,M1,1598.0,100.0,161.0
T-ROC,M1,1498.0,110.0,143.0
IONIQ,M1,1580.0,77.0,26.0
Q5,M1,1968.0,150.0,168.0
CLA 250 E,M1,1332.0,118.0,26.0
OCTAVIA,M1,1498.0,110.0,124.0
PANDA,M1,1242.0,51.0,133.0
X-TRAIL,M1,1332.0,117.0,165.0
C1,M1,998.0,53.0,109.0
FIESTA,M1,999.0,92.0,113.0
PANDA,M1,1242.0,51.0,133.0
530e xDrive,M1,1998.0,135.0,41.0
X2 sDrive16d,M1,1496.0,85.0,133.0
CROSSLAND,M1,1199.0,96.0,129.0
TOURNEO CUSTOM,M1,1995.0,136.0,198.0
3008,M1,1499.0,96.0,130.0
CAPTUR,M1,999.0,67.0,120.0
KADJAR,M1,1332.0,103.0,141.0
108,M1,998.0,53.0,111.0
PANDA,M1,1242.0,51.0,133.0
GOLF,M1,,100.0,0.0
JUMPY SPACE TOURER,M1,1499.0,88.0,166.0
XCeed,M1,1580.0,77.0,32.0
S 500 4MATIC,M1,2999.0,320.0,195.0
KONA  KAUAI,M1,1598.0,145.0,152.0
TUCSON,M1,1598.0,132.0,127.0
TOURAN,M1,1498.0,110.0,152.0
MICRA,M1,999.0,68.0,138.0
128TI,M1,1998.0,195.0,159.0
ZOE,M1,,51.0,0.0
TWINGO,M1,999.0,48.0,117.0
Q5 SPORTBACK,M1,1968.0,150.0,166.0
T-CROSS,M1,999.0,81.0,137.0
MII,M1,,61.0,0.0
XC40,M1G,1969.0,110.0,149.0
SANDERO,M1,999.0,67.0,128.0
SPRING,M1,,18.0,0.0
C3,M1,1199.0,81.0,126.0
COROLLA,M1,1798.0,72.0,111.0
DR6,,1498.0,110.0,
X3 M COMPETITION,M1,2993.0,375.0,264.0
T-ROC,M1,999.0,81.0,138.0
UP!,M1,,61.0,0.0
A3 45 TFSIe,M1,1395.0,110.0,29.0
KAMIQ,M1,1498.0,110.0,137.0
OCTAVIA,M1,1395.0,110.0,24.0
RENEGADE,M1,999.0,88.0,147.0
C-HR,M1,1798.0,72.0,111.0
T-ROC,M1,999.0,81.0,136.0
T-CROSS,M1,999.0,81.0,131.0
LODGY,M1,1461.0,85.0,131.0
SUPERB,M1,1984.0,140.0,164.0
SUPERB,M1,1968.0,147.0,164.0
C 300 d,M1,1993.0,195.0,133.0
2008,M1,1199.0,96.0,135.0
CADDY,M1,1968.0,75.0,127.0
2008,M1,1199.0,96.0,136.0
CROSSLAND,M1,1199.0,61.0,136.0
ARTEON,M1,1968.0,147.0,163.0
EQA 300 4MATIC,M1,,168.0,0.0
T-ROC,M1,999.0,81.0,138.0
T-CROSS,M1,999.0,81.0,147.0
CADDY,M1,1968.0,90.0,141.0
IGNIS,M1,1197.0,61.0,112.0
X3 SDRIVE18D,M1,1995.0,110.0,153.0
3008,M1,1598.0,133.0,
BERLINGO,M1,1499.0,96.0,138.0
208,M1,1499.0,75.0,107.0
MULTIVAN,M1,1968.0,110.0,205.0
Q5,M1,1968.0,150.0,176.0
ZOE,M1,,51.0,0.0
SERIE X,M1G,1998.0,135.0,46.0
COROLLA,M1,1798.0,72.0,102.0
A4 AVANT,M1,1984.0,150.0,147.0
SEAT LEON,M1,1498.0,110.0,132.0
IBIZA,M1,999.0,59.0,125.0
I 30,M1,1482.0,117.0,125.0
V90,M1,1969.0,145.0,149.0
E-TRON GT,M1,,350.0,0.0
John Cooper Works,M1,1998.0,170.0,157.0
I10 BI-FUEL,M1,998.0,48.0,121.0
KAUAI,M1,,150.0,0.0
PUMA,M1,999.0,91.0,127.0
POLO,M1,999.0,70.0,131.0
MULTIVAN,M1,1968.0,110.0,214.0
C4,M1,1199.0,96.0,131.0
508,M1,1499.0,96.0,124.0
Mustang Mach-E,M1,,221.0,0.0
C1,M1,998.0,53.0,109.0
530E XDRIVE,M1,1998.0,135.0,46.0
TOYOTA YARIS,M1,1490.0,68.0,92.0
S4 AVANT,M1,2967.0,251.0,192.0
C 300,M1,1991.0,190.0,175.0
C1,M1,998.0,53.0,110.0
OCTAVIA SCOUT,M1,1968.0,110.0,141.0
OCTAVIA,M1,999.0,81.0,118.0
SORENTO,M1,1598.0,132.0,152.0
S 500 4MATIC,M1,2999.0,320.0,204.0
CAYENNE E-HYBRID,M1G,2995.0,250.0,76.0
CROSSLAND,M1,1199.0,96.0,139.0
KAROQ,M1,1968.0,110.0,134.0
GLA 250 E,M1,1332.0,118.0,35.0
MEGANE,M1,1332.0,103.0,131.0
KODIAQ,M1,1968.0,110.0,156.0
SPACETOURER,M1,1997.0,106.0,185.0
DEFENDER,M1G,2997.0,147.0,241.0
RIO/SILBER/1.25 MPI/MT5/84,M1,1197.0,61.0,123.0
V60,M1,1969.0,145.0,148.0
T-ROC,M1,999.0,81.0,138.0
MOKKA,M1,1199.0,96.0,135.0
Q3 E-TRON,M1,1395.0,110.0,37.0
TIGUAN,M1,1968.0,90.0,134.0
KUGA,M1,2488.0,112.0,134.0
PASSAT,M1,1395.0,115.0,27.0
MODEL 3,M1,,153.0,0.0
FIAT 500X,M1,1248.0,70.0,121.0
KAMIQ,M1,1498.0,110.0,127.0
SPORTAGE,M1,1591.0,97.0,160.0
C1,M1,998.0,53.0,110.0
CAPTUR,M1,1598.0,69.0,114.0
SANDERO,M1,999.0,67.0,127.0
KAROQ,M1,1498.0,110.0,144.0
